"package_slug","jpg_file","repo_path","raw_url","local_path","bytes","sha256","source_file"
"3d-abstract-shapes-backgrounds-ai-pack","06-minimal-3d-cylinders-discs-background.jpg","pinterest-assets/uploaded/3d-abstract-shapes-backgrounds-ai-pack/06-minimal-3d-cylinders-discs-background.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/3d-abstract-shapes-backgrounds-ai-pack/06-minimal-3d-cylinders-discs-background.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\3d-abstract-shapes-backgrounds-ai-pack\06-minimal-3d-cylinders-discs-background.jpg","74853","b2fb186f703bdf4f7ee10226809740406ed356ef594a724cd9a7566b9e4b50d4","06-minimal-3d-cylinders-discs-background.png"
"3d-abstract-shapes-backgrounds-ai-pack","24-abstract-3d-tunnel-sphere-background.jpg","pinterest-assets/uploaded/3d-abstract-shapes-backgrounds-ai-pack/24-abstract-3d-tunnel-sphere-background.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/3d-abstract-shapes-backgrounds-ai-pack/24-abstract-3d-tunnel-sphere-background.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\3d-abstract-shapes-backgrounds-ai-pack\24-abstract-3d-tunnel-sphere-background.jpg","82614","246c40d15df1ddb4073049eac505c30ffc0a560e54d3c4fe7526145d527117b2","24-abstract-3d-tunnel-sphere-background.png"
"3d-abstract-shapes-backgrounds-ai-pack","30-complete-3d-abstract-shapes-toolkit-scene.jpg","pinterest-assets/uploaded/3d-abstract-shapes-backgrounds-ai-pack/30-complete-3d-abstract-shapes-toolkit-scene.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/3d-abstract-shapes-backgrounds-ai-pack/30-complete-3d-abstract-shapes-toolkit-scene.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\3d-abstract-shapes-backgrounds-ai-pack\30-complete-3d-abstract-shapes-toolkit-scene.jpg","107493","3eddb58e8e34ac3ca90d2f2927d8be14ad69852420b94bd6d50655c53c9c17f6","30-complete-3d-abstract-shapes-toolkit-scene.png"
"alpine-village-travel-lifestyle-ai-photo-pack","04-bright-daytime-alpine-village-riverside-scene.jpg","pinterest-assets/uploaded/alpine-village-travel-lifestyle-ai-photo-pack/04-bright-daytime-alpine-village-riverside-scene.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/alpine-village-travel-lifestyle-ai-photo-pack/04-bright-daytime-alpine-village-riverside-scene.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\alpine-village-travel-lifestyle-ai-photo-pack\04-bright-daytime-alpine-village-riverside-scene.jpg","441578","020711f40b322affc159644134ab0e97b3b54aab381e7fac688b14248d30b2d1","04-bright-daytime-alpine-village-riverside-scene.png"
"alpine-village-travel-lifestyle-ai-photo-pack","14-classic-european-alpine-village-canal-scene.jpg","pinterest-assets/uploaded/alpine-village-travel-lifestyle-ai-photo-pack/14-classic-european-alpine-village-canal-scene.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/alpine-village-travel-lifestyle-ai-photo-pack/14-classic-european-alpine-village-canal-scene.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\alpine-village-travel-lifestyle-ai-photo-pack\14-classic-european-alpine-village-canal-scene.jpg","478930","0411dae86b02163dd2cf698385d26701f75f691f500205fcba7d0d9f46910101","14-classic-european-alpine-village-canal-scene.png"
"alpine-village-travel-lifestyle-ai-photo-pack","30-alpine-village-travel-toolkit-scene.jpg","pinterest-assets/uploaded/alpine-village-travel-lifestyle-ai-photo-pack/30-alpine-village-travel-toolkit-scene.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/alpine-village-travel-lifestyle-ai-photo-pack/30-alpine-village-travel-toolkit-scene.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\alpine-village-travel-lifestyle-ai-photo-pack\30-alpine-village-travel-toolkit-scene.jpg","471940","f0631b2d6c8c52121b36c21c05e05075c4369ae90caac69df6e6cc07132a56a3","30-alpine-village-travel-toolkit-scene.png"
"bold-modern-gradient-abstract-backgrounds-ai-pack","08-liquid-chrome-gradient-background.jpg","pinterest-assets/uploaded/bold-modern-gradient-abstract-backgrounds-ai-pack/08-liquid-chrome-gradient-background.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/bold-modern-gradient-abstract-backgrounds-ai-pack/08-liquid-chrome-gradient-background.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\bold-modern-gradient-abstract-backgrounds-ai-pack\08-liquid-chrome-gradient-background.jpg","166802","6bd862bc53e4d31c97537513188aa0e40e86e5f624a81e76a22b2cbad6e723c1","08-liquid-chrome-gradient-background.png"
"bold-modern-gradient-abstract-backgrounds-ai-pack","21-bold-red-magenta-wave-background.jpg","pinterest-assets/uploaded/bold-modern-gradient-abstract-backgrounds-ai-pack/21-bold-red-magenta-wave-background.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/bold-modern-gradient-abstract-backgrounds-ai-pack/21-bold-red-magenta-wave-background.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\bold-modern-gradient-abstract-backgrounds-ai-pack\21-bold-red-magenta-wave-background.jpg","134979","14b313ae79726549501d890aea0c580aa8fc33f67fb73caecbe44a9c170b0933","21-bold-red-magenta-wave-background.png"
"bold-modern-gradient-abstract-backgrounds-ai-pack","30-complete-bold-abstract-backgrounds-toolkit-scene.jpg","pinterest-assets/uploaded/bold-modern-gradient-abstract-backgrounds-ai-pack/30-complete-bold-abstract-backgrounds-toolkit-scene.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/bold-modern-gradient-abstract-backgrounds-ai-pack/30-complete-bold-abstract-backgrounds-toolkit-scene.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\bold-modern-gradient-abstract-backgrounds-ai-pack\30-complete-bold-abstract-backgrounds-toolkit-scene.jpg","97582","b3ae030719bd5925dbfa4645abd599fe5ccff5d54d830337cf64ede7a2dc188a","30-complete-bold-abstract-backgrounds-toolkit-scene.png"
"bookish-lifestyle-reading-aesthetic-ai-photo-pack","24-cozy-home-reading-scene-multiple-books.jpg","pinterest-assets/uploaded/bookish-lifestyle-reading-aesthetic-ai-photo-pack/24-cozy-home-reading-scene-multiple-books.jpg","https://raw.githubusercontent.com/noma-studio/noma-studio/main/pinterest-assets/uploaded/bookish-lifestyle-reading-aesthetic-ai-photo-pack/24-cozy-home-reading-scene-multiple-books.jpg","C:\Users\김승원\Documents\New project 6\github_upload_ready_jpg\pinterest-assets\uploaded\bookish-lifestyle-reading-aesthetic-ai-photo-pack\24-cozy-home-reading-scene-multiple-books.jpg","206782","c1c7bd54505af8aa3ab4825d16adb0c3d8c0e1e2052b98d7bf7b16426d34d983","24-cozy-home-reading-scene-multiple-books.png"
